"x","y"
0,0
0,0.00103647
0,0.00103649
1e-10,0.00103649
2.35e-10,0.00103649
4.1725e-10,0.00103649
6.63288e-10,0.00103649
9.95438e-10,0.00103649
1.44384e-09,0.00103649
2.04919e-09,0.00103649
2.8664e-09,0.00103649
3.96964e-09,0.00103649
5e-09,0.00103649
6e-09,0.00338544
7e-09,0.00807857
8e-09,0.0151265
9e-09,0.0245451
1e-08,0.0363553
1.24604e-08,0.0655727
1.57819e-08,0.105423
2e-08,0.156682
2.5e-08,0.21835
3e-08,0.280967
3.5e-08,0.344499
4e-08,0.40892
4.5e-08,0.474203
5e-08,0.540318
5.25e-08,0.573678
5.5875e-08,0.619026
6e-08,0.674922
6.5e-08,0.743351
7e-08,0.812494
7.5e-08,0.882333
8e-08,0.952854
8.5e-08,1.02405
9e-08,1.09592
9.5e-08,1.16846
1e-07,1.24166
1.05e-07,1.31551
1.1e-07,1.39001
1.11e-07,1.40198
1.12e-07,1.41097
1.13e-07,1.41696
1.14e-07,1.41996
1.15e-07,1.41995
1.1746e-07,1.41995
1.2e-07,1.41996

